transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,georeference
2021-06-14T04:00:00.000,subway,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.749565,-73.98795,POINT (-73.98795 40.749565)
2021-06-14T13:00:00.000,subway,364,Zerega Av (6),Bronx,metrocard,Metrocard - Full Fare,25.0,0.0,40.836487,-73.84704,POINT (-73.84704 40.836487)
2021-06-14T08:00:00.000,subway,409,Spring St (6),Manhattan,omny,OMNY - Full Fare,74.0,0.0,40.7223,-73.99714,POINT (-73.99714 40.7223)
2021-06-14T01:00:00.000,subway,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",Manhattan,metrocard,Metrocard - Other,7.0,0.0,40.71411,-74.00858,POINT (-74.00858 40.71411)
2021-06-14T16:00:00.000,subway,610,"Grand Central-42 St (S,4,5,6,7)",Manhattan,metrocard,Metrocard - Seniors & Disability,158.0,3.0,40.751778,-73.976845,POINT (-73.976845 40.751778)
2021-06-14T18:00:00.000,subway,616,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Queens,metrocard,Metrocard - Unlimited 7-Day,232.0,0.0,40.74685,-73.891335,POINT (-73.891335 40.74685)
2021-06-14T19:00:00.000,subway,129,Halsey St (L),Queens,metrocard,Metrocard - Students,2.0,0.0,40.695602,-73.90408,POINT (-73.90408 40.695602)
2021-06-14T00:00:00.000,subway,393,116 St (6),Manhattan,omny,OMNY - Full Fare,11.0,0.0,40.79863,-73.94162,POINT (-73.94162 40.79863)
2021-06-14T17:00:00.000,subway,425,"Bronx Park East (2,5)",Bronx,metrocard,Metrocard - Fair Fare,5.0,2.0,40.848827,-73.868454,POINT (-73.868454 40.848827)
2021-06-14T15:00:00.000,subway,477,72 St (Q),Manhattan,metrocard,Metrocard - Seniors & Disability,60.0,2.0,40.7688,-73.95843,POINT (-73.95843 40.7688)
2021-06-14T11:00:00.000,subway,263,"63 Dr-Rego Park (M,R)",Queens,metrocard,Metrocard - Seniors & Disability,35.0,3.0,40.729847,-73.8616,POINT (-73.8616 40.729847)
